time,target_ids,target_ranges,target_speeds,bin_target_speeds
2025-11-07T13:10:22.571644+00:00,"[128, 0, 0, 0, 0, 0]","[66, 0, 0, 0, 0, 0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010100', '', '', '', '', '']"
2025-11-07T13:10:22.669671+00:00,"[128, 0, 0, 0, 0, 0]","[66, 0, 0, 0, 0, 0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010100', '', '', '', '', '']"
2025-11-07T13:10:22.815402+00:00,"[128, 0, 0, 0, 0, 0]","[66, 0, 0, 0, 0, 0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010100', '', '', '', '', '']"
2025-11-07T13:10:22.961647+00:00,"[128, 0, 0, 0, 0, 0]","[66, 0, 0, 0, 0, 0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010100', '', '', '', '', '']"
2025-11-07T13:10:23.059153+00:00,"[128, 0, 0, 0, 0, 0]","[65, 0, 0, 0, 0, 0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010100', '', '', '', '', '']"
2025-11-07T13:10:23.205400+00:00,"[128, 0, 0, 0, 0, 0]","[65, 0, 0, 0, 0, 0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010100', '', '', '', '', '']"
2025-11-07T13:10:23.302917+00:00,"[128, 0, 0, 0, 0, 0]","[64, 0, 0, 0, 0, 0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010100', '', '', '', '', '']"
2025-11-07T13:10:23.449153+00:00,"[128, 0, 0, 0, 0, 0]","[63, 0, 0, 0, 0, 0]","[4.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010011', '', '', '', '', '']"
2025-11-07T13:10:23.546657+00:00,"[128, 0, 0, 0, 0, 0]","[63, 0, 0, 0, 0, 0]","[4.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010011', '', '', '', '', '']"
2025-11-07T13:10:23.741667+00:00,"[128, 0, 0, 0, 0, 0]","[62, 0, 0, 0, 0, 0]","[4.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010011', '', '', '', '', '']"
2025-11-07T13:10:23.839136+00:00,"[128, 0, 0, 0, 0, 0]","[61, 0, 0, 0, 0, 0]","[4.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010010', '', '', '', '', '']"
2025-11-07T13:10:23.936709+00:00,"[128, 0, 0, 0, 0, 0]","[61, 0, 0, 0, 0, 0]","[4.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010010', '', '', '', '', '']"
2025-11-07T13:10:24.083024+00:00,"[128, 0, 0, 0, 0, 0]","[60, 0, 0, 0, 0, 0]","[4.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010011', '', '', '', '', '']"
2025-11-07T13:10:24.180510+00:00,"[128, 136, 0, 0, 0, 0]","[59, 102, 0, 0, 0, 0]","[4.5, 5.5, 0.0, 0.0, 0.0, 0.0]","['00010010', '00010110', '', '', '', '']"
2025-11-07T13:10:24.326879+00:00,"[128, 136, 0, 0, 0, 0]","[58, 101, 0, 0, 0, 0]","[4.5, 5.5, 0.0, 0.0, 0.0, 0.0]","['00010010', '00010110', '', '', '', '']"
2025-11-07T13:10:24.424268+00:00,"[128, 136, 0, 0, 0, 0]","[58, 100, 0, 0, 0, 0]","[4.5, 5.5, 0.0, 0.0, 0.0, 0.0]","['00010010', '00010110', '', '', '', '']"
2025-11-07T13:10:24.570585+00:00,"[128, 136, 0, 0, 0, 0]","[57, 99, 0, 0, 0, 0]","[4.5, 5.5, 0.0, 0.0, 0.0, 0.0]","['00010010', '00010110', '', '', '', '']"
2025-11-07T13:10:24.668523+00:00,"[128, 136, 0, 0, 0, 0]","[57, 99, 0, 0, 0, 0]","[4.5, 5.5, 0.0, 0.0, 0.0, 0.0]","['00010010', '00010110', '', '', '', '']"
2025-11-07T13:10:24.814347+00:00,"[128, 136, 0, 0, 0, 0]","[56, 98, 0, 0, 0, 0]","[4.5, 5.5, 0.0, 0.0, 0.0, 0.0]","['00010010', '00010110', '', '', '', '']"
2025-11-07T13:10:24.960508+00:00,"[128, 136, 0, 0, 0, 0]","[55, 97, 0, 0, 0, 0]","[4.5, 5.25, 0.0, 0.0, 0.0, 0.0]","['00010010', '00010101', '', '', '', '']"
2025-11-07T13:10:25.058101+00:00,"[128, 136, 0, 0, 0, 0]","[55, 97, 0, 0, 0, 0]","[4.5, 5.25, 0.0, 0.0, 0.0, 0.0]","['00010010', '00010101', '', '', '', '']"
2025-11-07T13:10:25.204258+00:00,"[128, 136, 0, 0, 0, 0]","[54, 96, 0, 0, 0, 0]","[4.75, 5.25, 0.0, 0.0, 0.0, 0.0]","['00010011', '00010101', '', '', '', '']"
2025-11-07T13:10:25.301855+00:00,"[128, 136, 0, 0, 0, 0]","[54, 95, 0, 0, 0, 0]","[4.75, 5.25, 0.0, 0.0, 0.0, 0.0]","['00010011', '00010101', '', '', '', '']"
